logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [295147905179352825856.000000000, 590295810358705651712.000000000] | Max ULP Error: 1.040317416
Interval [590295810358705651712.000000000, 1180591620717411303424.000000000] | Max ULP Error: 0.728110075
Interval [1180591620717411303424.000000000, 2361183241434822606848.000000000] | Max ULP Error: 0.924411237
Interval [2361183241434822606848.000000000, 4722366482869645213696.000000000] | Max ULP Error: 0.919050694
Interval [4722366482869645213696.000000000, 9444732965739290427392.000000000] | Max ULP Error: 0.849380493
Interval [9444732965739290427392.000000000, 18889465931478580854784.000000000] | Max ULP Error: 0.848280907
Interval [18889465931478580854784.000000000, 37778931862957161709568.000000000] | Max ULP Error: 0.793313205
Interval [37778931862957161709568.000000000, 75557863725914323419136.000000000] | Max ULP Error: 0.975114286
Interval [75557863725914323419136.000000000, 151115727451828646838272.000000000] | Max ULP Error: 0.969177127
Interval [151115727451828646838272.000000000, 302231454903657293676544.000000000] | Max ULP Error: 0.721884012
Interval [302231454903657293676544.000000000, 604462909807314587353088.000000000] | Max ULP Error: 0.929139555
Interval [604462909807314587353088.000000000, 1208925819614629174706176.000000000] | Max ULP Error: 0.920809686
Interval [1208925819614629174706176.000000000, 2417851639229258349412352.000000000] | Max ULP Error: 0.847617805
Interval [2417851639229258349412352.000000000, 4835703278458516698824704.000000000] | Max ULP Error: 0.841680646
Interval [4835703278458516698824704.000000000, 9671406556917033397649408.000000000] | Max ULP Error: 0.799542904
Interval [9671406556917033397649408.000000000, 19342813113834066795298816.000000000] | Max ULP Error: 1.056635976
Interval [19342813113834066795298816.000000000, 38685626227668133590597632.000000000] | Max ULP Error: 1.048306108
Interval [38685626227668133590597632.000000000, 77371252455336267181195264.000000000] | Max ULP Error: 0.720121384
Interval [77371252455336267181195264.000000000, 154742504910672534362390528.000000000] | Max ULP Error: 0.932399929
Interval [154742504910672534362390528.000000000, 309485009821345068724781056.000000000] | Max ULP Error: 0.927039385
Interval [309485009821345068724781056.000000000, 618970019642690137449562112.000000000] | Max ULP Error: 0.841391802
Interval [618970019642690137449562112.000000000, 1237940039285380274899124224.000000000] | Max ULP Error: 0.840292215
Interval [1237940039285380274899124224.000000000, 2475880078570760549798248448.000000000] | Max ULP Error: 0.801301897
Interval [2475880078570760549798248448.000000000, 4951760157141521099596496896.000000000] | Max ULP Error: 0.967125595
Interval [4951760157141521099596496896.000000000, 9903520314283042199192993792.000000000] | Max ULP Error: 0.961188436
Interval [9903520314283042199192993792.000000000, 19807040628566084398385987584.000000000] | Max ULP Error: 0.917655706
Interval [19807040628566084398385987584.000000000, 39614081257132168796771975168.000000000] | Max ULP Error: 0.899607480
Interval [39614081257132168796771975168.000000000, 79228162514264337593543950336.000000000] | Max ULP Error: 0.712357163
Interval [79228162514264337593543950336.000000000, 158456325028528675187087900672.000000000] | Max ULP Error: 0.666787326
Interval [158456325028528675187087900672.000000000, 316912650057057350374175801344.000000000] | Max ULP Error: 0.854037702
Interval [316912650057057350374175801344.000000000, 633825300114114700748351602688.000000000] | Max ULP Error: 0.968207061
Interval [633825300114114700748351602688.000000000, 1267650600228229401496703205376.000000000] | Max ULP Error: 0.968010187
Interval [1267650600228229401496703205376.000000000, 2535301200456458802993406410752.000000000] | Max ULP Error: 0.780759811
Interval [2535301200456458802993406410752.000000000, 5070602400912917605986812821504.000000000] | Max ULP Error: 0.605223298
Interval [5070602400912917605986812821504.000000000, 10141204801825835211973625643008.000000000] | Max ULP Error: 0.792473614
Interval [10141204801825835211973625643008.000000000, 20282409603651670423947251286016.000000000] | Max ULP Error: 1.031955242
Interval [20282409603651670423947251286016.000000000, 40564819207303340847894502572032.000000000] | Max ULP Error: 1.027104020
Interval [40564819207303340847894502572032.000000000, 81129638414606681695789005144064.000000000] | Max ULP Error: 0.839853644
Interval [81129638414606681695789005144064.000000000, 162259276829213363391578010288128.000000000] | Max ULP Error: 0.652603269
Interval [162259276829213363391578010288128.000000000, 324518553658426726783156020576256.000000000] | Max ULP Error: 0.726541221
Interval [324518553658426726783156020576256.000000000, 649037107316853453566312041152512.000000000] | Max ULP Error: 0.913791597
Interval [649037107316853453566312041152512.000000000, 1298074214633706907132624082305024.000000000] | Max ULP Error: 0.912391067
Interval [1298074214633706907132624082305024.000000000, 2596148429267413814265248164610048.000000000] | Max ULP Error: 0.908256292
Interval [2596148429267413814265248164610048.000000000, 5192296858534827628530496329220096.000000000] | Max ULP Error: 0.721005917
Interval [5192296858534827628530496329220096.000000000, 10384593717069655257060992658440192.000000000] | Max ULP Error: 0.664977193
Interval [10384593717069655257060992658440192.000000000, 20769187434139310514121985316880384.000000000] | Max ULP Error: 0.852227509
Interval [20769187434139310514121985316880384.000000000, 41538374868278621028243970633760768.000000000] | Max ULP Error: 0.972201407
Interval [41538374868278621028243970633760768.000000000, 83076749736557242056487941267521536.000000000] | Max ULP Error: 0.967350066
Interval [83076749736557242056487941267521536.000000000, 166153499473114484112975882535043072.000000000] | Max ULP Error: 0.780099750
Interval [166153499473114484112975882535043072.000000000, 332306998946228968225951765070086144.000000000] | Max ULP Error: 0.599044740
Interval [332306998946228968225951765070086144.000000000, 664613997892457936451903530140172288.000000000] | Max ULP Error: 0.786295116
Interval [664613997892457936451903530140172288.000000000, 1329227995784915872903807060280344576.000000000] | Max ULP Error: 0.973545492
Interval [1329227995784915872903807060280344576.000000000, 2658455991569831745807614120560689152.000000000] | Max ULP Error: 0.972144961
Interval [2658455991569831745807614120560689152.000000000, 5316911983139663491615228241121378304.000000000] | Max ULP Error: 0.848502398
Interval [5316911983139663491615228241121378304.000000000, 10633823966279326983230456482242756608.000000000] | Max ULP Error: 0.661252022
Interval [10633823966279326983230456482242756608.000000000, 21267647932558653966460912964485513216.000000000] | Max ULP Error: 0.724731088
Interval [21267647932558653966460912964485513216.000000000, 42535295865117307932921825928971026432.000000000] | Max ULP Error: 0.911981404
Interval [42535295865117307932921825928971026432.000000000, 85070591730234615865843651857942052864.000000000] | Max ULP Error: 0.912447512
Interval [85070591730234615865843651857942052864.000000000, 170141183460469231731687303715884105728.000000000] | Max ULP Error: 0.907596231
Interval [170141183460469231731687303715884105728.000000000, inf] | Max ULP Error: 0.000000000
Interval [inf, inf] | Max ULP Error: 0.000000000
